name,objID,type,petroMag_r,petroR50_r,petroR90_r
NGC4600,1237651754551607353,GALAXY,12.59534,12.31369,29.14582
NGC7814,1237652944786292741,GALAXY,17.8191,0.6797584,1.282482
NGC4249,1237655126082977857,GALAXY,13.54291,9.131212,26.49406
NGC4270,1237655126083174516,GALAXY,11.91435,12.07645,35.57046
NGC3917A,1237657628990439427,GALAXY,13.05359,12.17137,34.0234
PGC026857,1237657776082780171,GALAXY,13.90722,7.953997,19.3454
NGC3998,1237658802573475866,GALAXY,11.3513,4.610821,10.49883
VCC1148,1237661812812677152,GALAXY,15.08247,4.269611,11.9123
VCC200,1237661813348237434,GALAXY,14.3702,9.676222,26.06086
NGC4660,1237661815485956105,GALAXY,11.08515,7.62957,25.16726
IC3586,1237661817095717024,GALAXY,13.72168,18.46016,52.44742
VCC1993,1237661817633374346,GALAXY,14.74658,9.827045,29.82991
NGC4430,1237661970112643097,GALAXY,12.47581,22.98637,51.99463
UGC08799,1237661970121949501,GALAXY,15.29426,11.72974,24.28123
NGC4318,1237661976547491868,GALAXY,13.05855,5.651259,15.86235
UGC07854,1237662236931915904,GALAXY,14.28898,10.11031,27.02345
NGC5557,1237662663206502409,GALAXY,11.41822,10.8235,37.55384
NGC428,1237663278472626194,GALAXY,11.72929,29.94996,60.1463
NGC4405,1237664292076584979,GALAXY,12.09861,16.5053,36.07075
UGC08760,1237664295298138131,STAR,20.54514,0.5146172,1.050099
NGC5273,1237664853103607848,GALAXY,11.51882,23.95265,57.60296
NGC2753,1237665098461085790,GALAXY,13.76936,8.119704,18.51617
UGC05340,1237665127456702601,GALAXY,15.02023,20.21524,39.6372
PGC035754,1237665370119929863,GALAXY,13.77599,3.757374,12.50728
NGC4875,1237667444048658635,GALAXY,14.66675,2.628938,7.946803
EVCC0662,1237667915957993627,GALAXY,14.74869,22.07009,60.05826
LEDA213183,1237670458048118944,GALAXY,15.51522,5.756803,15.46223
NGC777,1237678806386868331,GALAXY,11.72156,11.75373,37.04857
NGC518,1237678906254753809,GALAXY,12.8278,15.93542,45.70162